username,academy_alpha_auc,n_reviews,mean_rating
kyloz,0.49489795918367346,42,3.869047619047619
kevinyang,0.49482758620689665,103,3.3155339805825244
flynnryder,0.49462365591397844,43,3.6744186046511627
braydenshea,0.4945054945054945,20,4.0
davidehrlich,0.494214259051885,104,3.4086538461538463
joshuasorensen,0.4939668174962293,56,3.6160714285714284
isaacfeldberg,0.4935897435897436,50,3.19
jlalibs,0.49336609336609333,92,3.5652173913043477
missflo,0.4927404718693285,48,4.364583333333333
rachels_reviews,0.49260042283298094,76,3.4473684210526314
tylercwhitmore,0.4925,30,3.9166666666666665
brianrowe,0.4923076923076923,33,4.121212121212121
michelcvg,0.4911111111111111,34,3.4705882352941178
kun,0.4908466819221968,61,3.540983606557377
joshuadysart,0.48901098901098905,20,3.4
jhuang98,0.48861283643892334,65,3.8076923076923075
sting,0.48827901658090334,86,3.377906976744186
fgdalmeida,0.4875,26,4.230769230769231
josecanas,0.4872685185185185,43,3.7209302325581395
brookeburns,0.48713235294117646,58,3.913793103448276
tdm5003,0.4866310160427807,50,3.77
nbfnicholas,0.4865056818181818,54,3.861111111111111
cinemalanguage,0.48611111111111116,34,3.0588235294117645
itsdrewclark,0.48611111111111116,26,4.173076923076923
clockworkking,0.48611111111111105,43,3.86046511627907
nvargascamus,0.4851190476190476,50,4.07
simononfilm,0.4845679012345679,54,3.240740740740741
localhero_,0.484375,22,3.840909090909091
haiduc,0.48260869565217396,38,3.9078947368421053
hudsonrocks,0.48148148148148145,21,3.6904761904761907
thelistislife42,0.4810606060606061,58,3.4827586206896552
alovelynite,0.4804964539007093,71,3.8943661971830985
dirtgrub,0.4791666666666667,31,4.112903225806452
vishwaskverma,0.47916666666666663,26,4.346153846153846
mikeyb98,0.4769260106788711,103,3.7135922330097086
amundsens,0.4766666666666667,37,3.554054054054054
lautengcokj,0.4766081871345029,28,3.982142857142857
superbardibros,0.475,46,3.8043478260869565
deathproof,0.47485632183908044,77,3.655844155844156
terencedavies,0.47293447293447294,57,3.543859649122807
ingmar,0.47286184210526316,70,2.7071428571428573
martyk0015mp,0.471875,26,4.211538461538462
hongweikai,0.4718045112781955,94,3.765957446808511
annikash,0.471571906354515,36,3.75
mundof,0.4715447154471545,65,4.061538461538461
christianalec94,0.47108843537414963,105,3.8714285714285714
cyman,0.4706666666666667,40,3.8375
realhenryb,0.4703947368421052,66,3.303030303030303
chriscabin,0.4697802197802198,27,3.1296296296296298
ashonfilm,0.46951219512195125,67,3.8955223880597014
danielzalez,0.46813725490196073,29,3.3448275862068964
chrisvfeil,0.46753455480552875,112,3.4910714285714284
naked_airplane,0.4673913043478261,41,3.6951219512195124
prateeksharma,0.46703296703296704,20,3.925
schizopolis23,0.4649122807017544,34,4.25
herescathal,0.4643928035982008,75,3.52
behaind,0.4638157894736842,51,3.3333333333333335
herb_gallow,0.46354166666666674,22,3.0
thommy1801,0.4632867132867133,35,3.8714285714285714
sergioalpendre,0.4632352941176471,25,2.56
nocopzone,0.46296296296296297,21,2.9047619047619047
filmspotting,0.46214219759926134,95,3.6315789473684212
scotttobias,0.4620689655172414,44,3.5795454545454546
jordanmbking,0.460483870967742,51,4.147058823529412
stk5,0.4598214285714286,23,3.869565217391304
oppenmommy,0.4598214285714286,44,3.7386363636363638
sublimeken,0.458974358974359,54,3.8981481481481484
thejacko,0.45857988165680474,39,4.038461538461538
jonathanfujii,0.4575757575757575,37,3.72972972972973
plzmrkennedy,0.45707070707070707,29,3.3793103448275863
thejoshl,0.4565826330532213,86,3.255813953488372
sean_chavel,0.45584045584045585,40,3.3375
michaelhaneke,0.45578947368421063,63,2.984126984126984
ashmatxx,0.4550224887556221,52,3.798076923076923
jaragon23,0.45416666666666666,32,3.90625
matheusfiore,0.45308924485125857,42,2.988095238095238
colonelmortimer,0.45289855072463764,103,3.2718446601941746
jhilke,0.45277161862527715,96,3.8854166666666665
lastcooldude,0.45227272727272727,69,3.9420289855072466
mumbles,0.45170454545454547,38,3.6842105263157894
furiarte02,0.45000000000000007,47,3.617021276595745
cpizzignacco,0.4491228070175438,34,3.676470588235294
blakemower,0.44897959183673475,21,4.0
mardarrius,0.44876660341555974,48,3.8125
astoehr,0.4475,30,2.933333333333333
brashbelle,0.4447368421052631,29,3.6724137931034484
ironwatcher,0.4444444444444444,42,3.880952380952381
willas,0.4441964285714286,92,2.777173913043478
markman05,0.44328703703703703,43,3.802325581395349
jennaipcar,0.4425925925925926,51,3.2254901960784315
jewbo23,0.4425287356321839,41,3.658536585365854
brokeboyinfilm,0.4419642857142857,22,4.2727272727272725
oneepiexe,0.4409090909090909,31,3.129032258064516
jackwakelin,0.4396825396825397,53,4.018867924528302
thedayofthedot,0.4392857142857143,24,4.1875
lifewithnopants,0.43790849673202614,26,3.3076923076923075
carygrcnt,0.43718166383701185,50,3.94
timbrayton,0.43689083820662766,92,3.266304347826087
ptapat,0.4360902255639098,47,3.265957446808511
slim,0.43560606060606066,34,3.9411764705882355
spotlessfilms,0.43529411764705883,27,3.814814814814815
ronr3xxx,0.43529411764705883,22,3.9318181818181817
whateverokay,0.43434343434343436,38,4.276315789473684
jbouie,0.4342105263157895,25,3.72
erinbacon,0.43108504398826986,42,3.988095238095238
sonnybunch,0.43013468013468015,51,3.549019607843137
mollylaich,0.4288888888888888,30,3.316666666666667
citizenhal,0.4285714285714286,22,3.5454545454545454
axelhagne,0.4285714285714286,37,3.5945945945945947
mikbanerjee,0.42788461538461536,29,3.8275862068965516
bartonfinked,0.4258241758241758,41,3.6219512195121952
billgriff,0.42517006802721086,35,3.3
maneleeo,0.424812030075188,26,4.019230769230769
mogwai_synth,0.42460317460317454,27,4.055555555555555
kjdson,0.423076923076923,23,4.239130434782608
gregs1999,0.42058823529411765,27,3.888888888888889
lifeasfiction,0.41948051948051945,83,3.4457831325301207
cinemonster,0.41931818181818187,42,3.75
smarmyjerkface,0.4191919191919192,20,4.0
